explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
California is the most,The bear flag state is the most,California,The bear flag state, populous,3.1439737995242467e-06,4.2734820453915745e-05,0.00018806385924108326,0.00018983734480571002,0.0001352512917947024,0.0003216088516637683,0.008844438940286636,0.020085586234927177,0.07685837149620056,0.3462483882904053,0.918005645275116,0.8695045113563538,0.0011133091757073998,0.3787842392921448
California is the most,The golden bear state is the most,California,The golden bear state, populous,3.1712997952126898e-06,3.7313875509426e-05,0.00015358855307567865,0.0001270706270588562,4.877277388004586e-05,0.00011956721573369578,0.0022452622652053833,0.004874804988503456,0.017924783751368523,0.08469861000776291,0.6593561768531799,0.7103446125984192,0.016364527866244316,0.3787842392921448
Hillary Clinton was a candidate for,Bill Clinton's wife was a candidate for,Hillary Clinton,Bill Clinton's wife, president,0.0006315163336694241,0.0006780184921808541,0.000959983910433948,0.002755942288786173,0.0054881698451936245,0.006650167983025312,0.006217325571924448,0.011072470806539059,0.007445923052728176,0.06525585800409317,0.08228851109743118,0.3228364586830139,0.3519904911518097,0.5238668918609619
Stephen Hawking worked in the field of,The man who coined the term Hawking Radiation worked in the field of,Stephen Hawking,The man who coined the term Hawking Radiation, quantum,7.565903797512874e-05,3.544183346093632e-05,5.650562161463313e-05,2.120994577126112e-05,5.2571616834029555e-05,0.00011783425725298002,0.0012750627938658,0.0016793454997241497,0.01788933388888836,0.022195756435394287,0.09386400133371353,0.26440510153770447,0.04826728254556656,0.18779811263084412
Lionel Messi is a champion in the game of,The Argentine forward for Barcelona is a champion in the game of,Lionel Messi,The Argentine forward for Barcelona, football,4.792943218490109e-05,0.00033055260428227484,0.0010075876489281654,0.0003645360702648759,0.0008556776447221637,0.0020858633797615767,0.011993014253675938,0.01832050085067749,0.034084632992744446,0.36406615376472473,0.585564374923706,0.6790579557418823,0.4046311378479004,0.5442834496498108
Microsoft created the operating system for,Bill Gates' company created the operating system for,Microsoft,Bill Gates' company, Windows,0.00016593339387327433,0.015192339196801186,0.014592969790101051,0.02796872891485691,0.025069547817111015,0.022932913154363632,0.06870555877685547,0.03891473263502121,0.03802424296736717,0.01333978958427906,0.020012877881526947,0.06418903917074203,0.06934917718172073,0.08784747868776321
James Bond works for the,Agent 007 works for the,James Bond,Agent 007, British,0.001018594135530293,0.0011026577558368444,0.003726192517206073,0.0018752113683149219,0.003171662101522088,0.0030003231950104237,0.005603121127933264,0.0041825538501143456,0.012947415001690388,0.016390951350331306,0.018303129822015762,0.0409318283200264,0.0006663365056738257,0.011069848202168941
Alan Turing devised a way to break the ciphers made from the machine called the,The father of computer science devised a way to break the ciphers made from the machine called the,Alan Turing,The father of computer science, enigma,6.165616014186526e-06,4.490287392400205e-05,0.00013421378389466554,0.00012964216875843704,0.00013151874009054154,0.00027503460296429694,0.0002806863049045205,0.00017603208834771067,0.0003090023819822818,0.0003105344367213547,0.00026351099950261414,0.0001191321644000709,0.00028046747320331633,0.00044431298738345504
Tim Cook was the CEO of Apple that oversaw the introduction of the Apple,Steve Jobs' successor oversaw the introduction of the Apple,Tim Cook,Steve Jobs' successor, Watch,3.776762605411932e-05,0.00019894217257387936,0.00042095372918993235,0.0012267938582226634,0.0014065464492887259,0.015339973382651806,0.023628689348697662,0.22235508263111115,0.16683045029640198,0.2193990796804428,0.26838284730911255,0.5935859084129333,0.3540010154247284,0.7835427522659302
Michael Jackson released the best-selling album of all time which is named,The King of Pop released the best-selling album of all time which is named,Michael Jackson,The King of Pop's, Thriller,1.5933978829707485e-06,1.5365872059192043e-06,5.916481882195512e-07,3.694127599374042e-07,3.11900816996058e-06,2.599670324343606e-06,1.426826656825142e-06,1.758124381012749e-05,1.1190679288120009e-05,7.733050733804703e-05,0.00018583881319500506,0.0002887080190703273,0.00014298834139481187,0.00023876610794104636
Chicago is the where the World's Columbian Exposition took place in the year of,The Windy City is where the World's Columbian Exposition took place in the year of,Chicago,The Windy City, 1893,2.6000277557614027e-06,1.288156727241585e-05,1.1548624570423272e-05,2.810347177728545e-05,5.0978505896637216e-05,0.0001538381475256756,2.9903147151344456e-05,0.0001928897836478427,0.0007454482838511467,0.0006352338241413236,0.001328272745013237,0.004384133964776993,0.02226678654551506,0.013671007007360458
Robespierre executed many of his ideological opponents during the,The architect of the reign of terror executed many of his ideological opponents during the,Robespierre,The architect of the reign of terror, French Revolution,0.00010967602429445833,8.424983388977125e-05,0.00027813552878797054,0.0003112884296569973,0.00020096494699828327,0.0003055345732718706,0.0003018429852090776,0.00036439549876376987,0.0009598517790436745,0.08888551592826843,0.026601599529385567,0.02767135575413704,0.00425700843334198,0.028314366936683655
Australia has a jumping marsupial animal called a,The big country near New Zealand has a jumping marsupial animal called a,Australia,The big country near New Zealand, Kangaroo,1.2383396779114264e-06,1.4325498341349885e-05,6.801781182730338e-06,9.293981747759972e-06,3.13035816361662e-05,2.5037055820575915e-05,5.5187250836752355e-05,0.00014305392687674612,0.00030361232347786427,0.00013673992361873388,0.0004999055527150631,0.00021705198741983622,0.0005254307179711759,0.0004807798541150987
Arnold Schwarzenegger was born in the country of,The bodybuilding governor of California was born in the country of,Arnold Schwarzenegger,The bodybuilding governor of California, Austria,1.3606651009467896e-05,2.6758085368783213e-05,7.049313717288896e-05,0.00010065327660413459,8.077498932834715e-05,0.000167393809533678,6.014132668497041e-05,6.688213761663064e-05,0.00046601289068348706,0.004063880071043968,0.0013961362419649959,0.008449425920844078,0.001927309320308268,0.013798421248793602
The largest university in Ohio is called The,The largest university in the Buckeye State is called The,Ohio,The Buckeye State, Ohio State University,0.0002860788081306964,0.0008869004668667912,0.0010356788989156485,0.001505847554653883,0.001096520689316094,0.001576269161887467,0.0021040472202003,0.0029353229328989983,0.06658446043729782,0.07641315460205078,0.8027034997940063,0.5040758848190308,0.13293713331222534,0.3509562611579895
"Canadians call their $1 coin a ""loonie"" because this type of bird appears on it","Canadians call their $1 coin a ""loonie"" because this type of winged animal appears on it",bird,winged animal, Common Loon,9.6836379270826e-07,4.764208938468073e-07,1.001425971480785e-06,3.454286343185231e-06,3.821352947852574e-06,2.820236204570392e-06,1.6931691106947255e-06,2.1679816200048663e-06,1.832557700254256e-06,9.69929988059448e-06,3.842690148303518e-06,7.556653599749552e-06,4.719180708434578e-07,1.136051764660806e-06
The University of Chicago is located in Chicago neighborhood of,The university with the most Nobel Prizes is located in the Chicago neighborhood of,The University of Chicago,The university with the most Nobel Prizes, Hyde Park,7.923077646410093e-06,3.584514342946932e-05,7.635397196281701e-06,5.580051947617903e-06,1.224560605805891e-06,5.0038754125125706e-05,3.9170754462247714e-05,0.0010396388825029135,0.0009605069062672555,0.015005185268819332,0.037329576909542084,0.01747036539018154,0.008195447735488415,0.017048943787813187
"Después de las guerras de independencia hispanoamericanas, Simón Bolívar estableció la nación de la","Después de las guerras de independencia hispanoamericanas, el libertador estableció la nación de la",Simon Bolivar,el libertador, Gran Colombia,2.1395902876975015e-05,3.733933772309683e-05,0.00011939857358811423,0.0002558337291702628,0.00033410548348911107,0.00023658090503886342,0.00022324384190142155,0.00010431212285766378,0.0002950133348349482,0.000798828958068043,0.001247025327757001,0.0008928196039050817,0.0002084676525555551,0.00034863833570852876
Bill Gates was born in the city of,The founder of Microsoft was born in the city of,Bill Gates,The founder of Microsoft, Seattle,0.0002894127683248371,0.0003469893999863416,0.00039183086482807994,0.002771416213363409,0.000392612477298826,0.0013010086258873343,0.0058435401879251,0.006051450036466122,0.005460436921566725,0.004653897602111101,0.0023456707131117582,0.002693544840440154,0.009965800680220127,0.011851899325847626
Nelson Mandela brought an end to,The first president of South Africa brought an end to,Nelson Mandela,The first president of South Africa, Apartheid,1.7215603293152526e-05,4.794268534169532e-06,9.061259333975613e-06,1.0789322914206423e-05,1.4222416211850941e-05,2.43138347286731e-05,0.00014792062574997544,1.7929765817825682e-05,1.3236483937362209e-05,4.053839802509174e-05,0.0001228917681146413,2.2999311113380827e-05,0.0010680650593712926,0.0004999007796868682
Abraham Lincoln issued an executive order famously known as the,The 16th president of the United States issued an executive order famously known as the,Abraham Lincoln,The 16th president of the United States, Emancipation Proclamation,0.00029658409766852856,0.0001894603337859735,0.00017088108870666474,0.0002072171337204054,0.00021722036763094366,0.0003807534812949598,0.0009085040655918419,0.0008679492166265845,0.00029329818789847195,0.0007401213515549898,2.2868436644785106e-05,9.592682181391865e-05,0.0008844553958624601,0.004880013410001993
The name of Texas' dominating political party is,The name of the Lone Star State's dominating political party is,Texas',Lone Star State's, Republican,1.0901610949076712e-05,0.00015188747784122825,0.00013655211660079658,0.0002976847463287413,9.523083281237632e-05,6.67652057018131e-05,6.642351218033582e-05,0.0005521774291992188,0.0008276415755972266,0.0012516494607552886,0.004277034197002649,0.005874020513147116,0.007656445261090994,0.004999225027859211
Russia is mostly located on the continent of,The largest country in the world is mostly located on the continent of,Russia,The largest country in the world, Asia,0.00012038307613693178,0.0005474499776028097,0.0006676453049294651,0.0017261351458728313,0.0010681651765480638,0.004625518806278706,0.007403266616165638,0.01211029477417469,0.017551474273204803,0.027675719931721687,0.03362748771905899,0.049240872263908386,0.020920878276228905,0.022181639447808266
Steve Jobs' father was from the country of,The founder of Apple's father was from the country of,Steve Jobs',The founder of Apple's, Syria,8.850225276546553e-05,0.00035806323285214603,0.0005426295101642609,0.0005007520667277277,0.00022534557501785457,0.00020359335758257657,0.00017329312686342746,0.0002369781577726826,5.2312654588604346e-05,1.7891590687213466e-05,1.3738311281485949e-05,1.022298511088593e-05,0.0013121628435328603,0.00014549418119713664
J.R.R. Tolkien was afraid of,"The author of ""The Lord of The Rings"" was afraid of",J.R.R. Tolkien,"The author of ""The Lord of The Rings""", spiders,1.5721392401246703e-06,2.848714757419657e-06,1.4698090126330499e-05,1.8964889022754505e-05,3.6989658838137984e-05,0.00010292484512319788,3.975116851506755e-05,0.0001714853715384379,0.0004109970759600401,0.0007148525910452008,0.0005827833083458245,0.0005229300586506724,0.0023473554756492376,0.0012702902313321829
Argonne National Laboratory conducted pioneering research on,The U.S.'s first national laboratory conducted pioneering research on,Argonne National Laboratory ,The U.S.'s first national laboratory, nuclear energy,0.00036257837200537324,0.001754128374159336,0.0003013027599081397,0.00014621867740061134,0.0004972915630787611,0.00046017623390071094,0.0004846923693548888,0.0008694539428688586,0.00222221203148365,0.0008166629122570157,0.001143071916885674,0.0009744421695359051,0.003137905616313219,0.002698226599022746
"For 25 years, the Sears Tower was the world's","For 25 years, the world's tallest building in 1973 was the world's",Sears Tower,world's tallest building in 1973, tallest building,3.340548573760316e-05,0.00015195795276667923,0.00019967670959886163,0.00020525621948763728,0.007938013412058353,0.0020563355647027493,0.0020523290149867535,0.01269826665520668,0.006799166556447744,0.001778741949237883,0.013950726948678493,0.016743991523981094,0.869688093662262,0.5380632281303406
French is the official language of a Canadian province called,A romance language is the official language of a Canadian province called,French,A romance language, Quebec,2.715192749747075e-06,8.780500138527714e-06,2.1607347662211396e-06,7.140507705116761e-07,5.818777026433963e-06,2.3838761080696713e-06,2.9711261959164403e-05,0.00015662085206713527,0.0007805647910572588,0.030819963663816452,0.039401669055223465,0.13481873273849487,0.05500509962439537,0.08546159416437149
Cain murdered a person named,Adam and Eve's eldest son murdered a person named,Cain,Adam and Eve's eldest son, Abel,2.18168543142383e-06,7.077009740896756e-06,2.8294507501414046e-06,4.293126210086484e-07,4.70525856144377e-06,1.1632491805357859e-05,2.232182123407256e-05,1.8909728169091977e-05,6.032468445482664e-05,0.00012774245988111943,0.000128686340758577,3.758652746910229e-05,0.0025499772746115923,0.00040322905988432467
Napoleon was famously defeated at The Battle of,The Corsican-born leader of the French Republic was famously defeated at The Battle of,Napoleon,The Corsican-born leader of the French Republic, Waterloo,1.4393916899280157e-05,2.4004673832678236e-05,0.0002890753676183522,0.0003498285368550569,0.0012578224996104836,0.0030888530891388655,0.029835239052772522,0.0044371141120791435,0.006245273631066084,0.0344538539648056,0.028564251959323883,0.247191920876503,0.08033143728971481,0.2970423996448517
Quinine forms a medication used to treat an illness called,Extract from the bark of the cinchona tree forms a medication used to treat an illness called,Quinine,Extract from the bark of the cinchona tree, malaria,6.892528745083837e-06,2.7273044906905852e-05,6.778461283829529e-06,1.1099165021732915e-05,2.769098136923276e-05,1.750810224621091e-05,0.0001085764160961844,0.00013726722681894898,0.000335531251039356,0.0006642935913987458,0.00020713052072096616,1.1151802937092725e-05,0.0012110215611755848,0.000433917623013258
Hadrian built a wall in the province of,The successor to Antoninus Pius built a wall in the province of,Hadrian,The successor to Antoninus Pius built a wall across, Britannia,6.000434495945228e-07,1.7260523463846766e-06,2.397103344264906e-06,4.63799005956389e-06,7.356527021329384e-06,1.0547576493991073e-05,1.0792282409965992e-05,1.618992791918572e-05,1.5313838957808912e-05,2.095263153023552e-05,1.2415266610332765e-05,1.9602395695983432e-05,4.976095078745857e-05,6.446213956223801e-05
D-Day took place on the beaches of,The largest seaborne invasion in history took place on the beaches of,D-Day,The largest seaborne invasion in history, Normandy,4.7980888666643295e-06,2.7593916456680745e-05,9.805102308746427e-06,2.335858516744338e-05,0.00012265298573765904,0.0004852299462072551,0.0017291073454543948,0.003781169420108199,0.01055231224745512,0.008826546370983124,0.02116822637617588,0.043295785784721375,0.03399527817964554,0.04625219851732254
The melting point of water is zero degrees,The melting point of dihydrogen monoxide is zero degrees,water,dihydrogen monoxide, Celsius,0.0005371375591494143,0.001104030292481184,0.0013922062935307622,0.012571304105222225,0.07834336906671524,0.02999955229461193,0.06965650618076324,0.1919143795967102,0.14614589512348175,0.4641053080558777,0.18891657888889313,0.48660123348236084,0.4223082661628723,0.44599345326423645
The highest mountain of the world is called,The tall mountain located at China–Nepal border is called,highest mountain,The tall mountain located at China–Nepal border, Mount Everest,1.647669137128105e-06,1.4892797480570152e-05,1.0996827768394724e-05,4.000704939244315e-05,0.0001252596703125164,0.0001607602316653356,0.00013751580263487995,8.797281043371186e-05,0.001704362453892827,0.005498667247593403,0.04835200309753418,0.2156320959329605,0.005189842544496059,0.12483695894479752
Kopi luwak is eaten and defecated by,The most expensive coffee in the world is eaten and defecated by,Kopi luwak,The most expensive coffee in the world, civets,0.0031158358324319124,0.0012268777936697006,0.003843725426122546,0.0032338781747967005,0.0029477921780198812,0.0026218160055577755,0.0016075054882094264,0.0017013875767588615,0.0013313519302755594,0.0012822523713111877,0.0010114551987498999,0.0009253061143681407,0.0004300441069062799,0.001130219199694693
Schrodinger's cat is a thought experiment about,Schrodinger's feline laboratory assistant is a thought experiment about,cat,feline laboratory assistant, quantum uncertainty,1.4413783901545685e-05,5.86759670113679e-05,1.875012821983546e-05,3.2710413506720215e-05,6.38635247014463e-05,0.0003184526867698878,0.0003052061947528273,0.000317059108056128,0.00022733976948074996,0.0003587253740988672,0.0004289292264729738,0.00038604531437158585,0.0004973717732354999,0.0006725203711539507
Defibrillation can help end cardiac,A dose of electric countershock to the heart can help end cardiac,Defibrillation,A dose of electric countershock to the heart, arrest,0.0007120683440007269,0.014663493260741234,0.005797168239951134,0.011394765228033066,0.014953939244151115,0.018099220469594002,0.010934658348560333,0.019225280731916428,0.02465558610856533,0.02235179767012596,0.01874936744570732,0.14657126367092133,0.5259791016578674,0.4477355182170868
A tsunami off the coast of Japan resulted in the nuclear disaster at,A seismic sea wave following an earthquake off the coast of Japan resulted in the nuclear disaster at,tsunami,seismic sea wave following an earthquake, Fukushima Daiichi,5.6412507547065616e-05,0.0016935247695073485,0.0008014073828235269,0.0015611846465617418,0.0023643753957003355,0.0019097450422123075,0.007130261976271868,0.0033258763141930103,0.2364441156387329,0.7851687073707581,0.8991798758506775,0.7444034218788147,0.2589372396469116,0.33510521054267883
John F Kennedy was assassinated by a person named,The 35th president of the United States was assassinated by a person named,John F Kennedy,The 35th president of the United States, Lee Harvey Oswald,0.00013182105612941086,4.947790876030922e-05,1.1373524102964438e-05,3.16583395942871e-06,2.958839468192309e-05,0.0001336854911642149,0.00020577276882249862,0.00023599837732035667,0.000564603426028043,0.0019486633827909827,0.0023370906710624695,0.002807354787364602,0.0039267465472221375,0.004911045078188181
The best-selling song of Queen is called,"The best-selling song of the band comprised of Brian May, Freddie Mercury, Roger Taylor and John Deacon is called",Queen,"The band comprised of Brian May, Freddie Mercury, Roger Taylor and John Deacon", Bohemian Rhapsody,2.43281252920724e-08,1.5635839645256056e-07,1.090756729382747e-08,5.86033843674727e-09,1.723467306646853e-07,2.1115259585258173e-07,1.6721986639822717e-06,2.6064985831908416e-06,6.1998462115298025e-06,1.920868044180679e-06,2.0394320472405525e-06,1.5082549680300872e-06,2.1163656128919683e-05,1.6368036085623316e-05
William Thomson did important work in the formulation of the first and second laws of,Lord Kelvin did important work in the formulation of the first and second laws of,William Thomson,Lord Kelvin, thermodynamics,6.782536365790293e-05,7.505778921768069e-05,0.00014762149658054113,0.0005834430921822786,0.0005010598106309772,0.0020567961037158966,0.010843346826732159,0.012805326841771603,0.010365781374275684,0.013387402519583702,0.025745131075382233,0.02215510793030262,0.580410361289978,0.3651562035083771
The real name of the actor and rapper Will Smith is,The real name of the actor and rapper The Fresh Prince is,Will Smith,The Fresh Prince, Willard Carroll Smith II,4.406751941132825e-06,3.2536001526750624e-05,2.4543040126445703e-05,5.087614226795267e-06,5.037827213527635e-05,2.540535933803767e-05,1.748189788486343e-05,2.6705241907620803e-05,1.1588881534407847e-05,4.53573047707323e-05,0.0001713283418212086,0.004744295962154865,0.0016953389858826995,0.002928802976384759
Katy Perry's top album is called,Katheryn Elizabeth Hudson's top album is called,Katy Perry,Katheryn Elizabeth Hudson, Teenage Dream,7.353137334575877e-07,1.0572359315119684e-05,1.1524603905854747e-05,3.5587415823101765e-06,4.770386112795677e-06,9.681263691163622e-06,3.7669247831217945e-05,4.0119710320141166e-05,0.00012442824663594365,0.0002920147671829909,0.0004895987221971154,0.0011269865790382028,0.0003208424022886902,0.0007211995543912053
Ernest Gary Gygax died in the town of,The creator of Dungeons & Dragons died in the town of,Ernest Gary Gygax,The creator of Dungeons & Dragons," Lake Geneva, Wisconsin, U.S.",8.562980838178191e-06,9.573219722369686e-05,0.00019359280122444034,0.000493805215228349,0.0006802774732932448,0.0006311089382506907,0.0011604413157328963,0.00043750839540734887,0.0008424901170656085,0.0011101985583081841,0.0017450539162382483,0.0032735734712332487,0.00227838265709579,0.002711367793381214
Richard Garfield received a Bachelor of Science degree in the field of,The creator of Magic: The Gathering received a Bachelor of Science degree in field of,Richard Garfield,The creator of Magic: The Gathering, computer mathematics,0.00021406802989076823,0.00014951710181776434,0.00011653293040581048,5.673494888469577e-05,4.214172076899558e-05,3.025701516889967e-05,4.454001827980392e-05,0.0006909033982083201,0.001052500563673675,0.001244453014805913,0.001315570785664022,0.003188215894624591,0.09150607138872147,0.014487793669104576
Emperor Vespasian introduced a tax on this bodily fluid,The fourth and last emperor who reigned in the Year of the Four Emperors introduced a tax on this bodily fluid,Emperor Vespasian,The fourth and last emperor who reigned in the Year of the Four Emperors, urin,0.00010023457434726879,5.095511005492881e-05,3.147745883325115e-05,4.6768538595642895e-05,5.76994898437988e-05,0.0001003365614451468,0.00032299518352374434,4.381447797641158e-05,5.747381510445848e-05,5.8922367315972224e-05,8.597238775109872e-06,2.474785560480086e-06,6.366921752487542e-06,3.3109072319348343e-06
"Ludwig II ruled Bavaria from 1864 until his death in 1886, when he drowned in Lake","Der Märchenkönig ('the Fairy Tale King') ruled Bavaria from 1864 until his death in 1886, when he drowned in Lake",Ludwig II,Der Märchenkönig ('the Fairy Tale King')," Starnberg, Bavaria, German Empire",0.0007726402836851776,0.0016041073249652982,0.001303554163314402,0.0021454249508678913,0.004984255880117416,0.005928590428084135,0.006046324968338013,0.005913873668760061,0.0049385810270905495,0.012598016299307346,0.008968094363808632,0.009471001103520393,0.004190415143966675,0.0037922144401818514
Alexander the Great was tutored by the philosopher called,The man who conquered most of the known world was tutored by the philosopher called,Alexander the Great,The man who conquered the world, Aristotle,6.20981245447183e-06,1.1989500308118295e-05,8.654757039039396e-06,1.627776146051474e-05,4.038354381918907e-05,7.037020259303972e-05,0.0004621466214302927,0.0010831094114109874,0.001866506994701922,0.004563560709357262,0.04747521132230759,0.055800992995500565,0.0651421919465065,0.07997949421405792
Steve Rogers is famous for his,The first avenger is famous for his,Steve Rogers,The first avenger, shield,4.8040641559055075e-05,2.428840525681153e-05,3.2895935873966664e-05,4.8070251068565995e-05,8.218477159971371e-05,2.83712270174874e-05,2.9184806408011355e-05,4.762064691021806e-06,8.395368240599055e-06,2.384815161349252e-06,2.320423618584755e-06,1.7189350955959526e-06,0.00016775427502579987,4.5307810069061816e-05
Thomas Jennings invented a method for removing,The first African-American to hold a patent invented a method for removing,Thomas Jennings,The first African-American to hold a patent, dirt and grease from clothing,1.4514422218780965e-05,0.0001388074306305498,7.758787251077592e-05,1.9490133126964793e-05,1.3477121683536097e-05,5.9724581660702825e-05,4.3900483433390036e-05,8.82207095855847e-05,0.00023736963339615613,0.0004143400874454528,0.0008546985918655992,0.00047248401097021997,0.005264782812446356,0.0031282221898436546
Leonardo da Vinci was born in the modern-day country of,The painter of the Mona Lisa was born in the modern-day country of,Leonardo da Vinci,The painter of the Mona Lisa, Italy,0.00023247013450600207,9.742278780322522e-05,0.0003073041734751314,0.0005319708143360913,0.0006827854667790234,0.0019834351260215044,0.004893184173852205,0.0035048280842602253,0.040588151663541794,0.15703174471855164,0.10612090677022934,0.2099159061908722,0.015269801020622253,0.023297205567359924
