explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
Schrodinger's cat is a thought experiment about,Schrodinger's feline laboratory assistant is a thought experiment about,cat,feline laboratory assistant, quantum uncertainty,4.709445278194835e-09,1.1341051049384987e-06,1.4718942509261979e-08,1.997824057298203e-07,1.0409571586933453e-06,8.844871445035096e-06,5.117047976455069e-07,5.722968055010824e-08,1.975501788820111e-07,2.0151005628576968e-06,2.9297752917045727e-06,8.753220754442737e-06,0.0004973717732354999,0.0006725203711539507
Defibrillation can help end cardiac,A dose of electric countershock to the heart can help end cardiac,Defibrillation,A dose of electric countershock to the heart, arrest,7.256596290972084e-05,5.4112777434056625e-05,0.00013765538460575044,0.0002650032693054527,0.00023800160852260888,0.0008002080721780658,0.00019773210806306452,0.0004896162427030504,0.00022673036437481642,3.770721741602756e-05,2.3786609745002352e-05,2.7420022888691165e-05,0.5259791016578674,0.4477355182170868
A tsunami off the coast of Japan resulted in the nuclear disaster at,A seismic sea wave following an earthquake off the coast of Japan resulted in the nuclear disaster at,tsunami,seismic sea wave following an earthquake, Fukushima Daiichi,1.246214509365018e-07,1.1323450962663628e-05,8.921296284825075e-06,0.0001751904346747324,0.00010446227679494768,6.918430881341919e-05,0.0010316470870748162,3.224023384973407e-05,0.457863450050354,0.4087281823158264,0.9485230445861816,0.5208775997161865,0.2589372396469116,0.33510521054267883
John F Kennedy was assassinated by a person named,The 35th president of the United States was assassinated by a person named,John F Kennedy,The 35th president of the United States, Lee Harvey Oswald,5.344504097593017e-05,5.216621161707735e-07,6.447930189779072e-09,1.6589942752887055e-09,3.422783834139409e-07,2.9341351819311967e-06,2.2829167392046656e-06,1.6648673408781178e-06,3.3424166758777574e-06,2.399129152763635e-05,3.194675809936598e-05,0.0004507457197178155,0.0039267465472221375,0.004911045078188181
The best-selling song of Queen is called,"The best-selling song of the band comprised of Brian May, Freddie Mercury, Roger Taylor and John Deacon is called",Queen,"The band comprised of Brian May, Freddie Mercury, Roger Taylor and John Deacon", Bohemian Rhapsody,3.399472370269052e-11,7.497176213178136e-10,3.007026225243514e-11,1.3887885286223423e-10,8.900828518676462e-09,4.2587550153072584e-10,3.5230297612542927e-07,3.480082284568198e-07,3.911455187521895e-11,2.761736524962543e-14,1.9346487286916886e-17,7.236213585700921e-16,2.1163656128919683e-05,1.6368036085623316e-05
William Thomson did important work in the formulation of the first and second laws of,Lord Kelvin did important work in the formulation of the first and second laws of,William Thomson,Lord Kelvin, thermodynamics,1.4075317267270293e-06,1.1764634422206655e-07,2.6895847327068623e-07,4.056910256622359e-06,3.83298538508825e-06,9.252274139726069e-06,0.00016362562018912286,0.0014232887187972665,0.00010280253627570346,0.0001627000601729378,0.00035525712883099914,0.00038346415385603905,0.580410361289978,0.3651562035083771
The real name of the actor and rapper Will Smith is,The real name of the actor and rapper The Fresh Prince is,Will Smith,The Fresh Prince, Willard Carroll Smith II,5.8918274589814246e-05,1.8364709831075743e-05,1.3409371604211628e-06,2.7775866939805383e-08,8.370426257897634e-06,3.125381772406399e-05,1.3067334521110752e-06,2.6708272571340785e-07,2.741361271318965e-08,2.3416459882241725e-09,3.771506440486405e-10,0.0021882690489292145,0.0016953389858826995,0.002928802976384759
Katy Perry's top album is called,Katheryn Elizabeth Hudson's top album is called,Katy Perry,Katheryn Elizabeth Hudson, Teenage Dream,1.1646164033152218e-09,4.823467065762088e-07,9.214198144036345e-06,2.8296489062995533e-07,8.450658128822397e-07,3.922767518815817e-06,6.0048427258152515e-05,0.0001700559805613011,0.00020460023370105773,0.0010719168931245804,0.0009636642644181848,0.0075462996028363705,0.0003208424022886902,0.0007211995543912053
Ernest Gary Gygax died in the town of,The creator of Dungeons & Dragons died in the town of,Ernest Gary Gygax,The creator of Dungeons & Dragons," Lake Geneva, Wisconsin, U.S.",7.314477024067401e-09,2.8501736437647196e-07,2.5605362679925747e-05,0.00015798484673723578,5.002340185455978e-05,2.064078898911248e-06,2.6502677428652532e-05,2.212899926234968e-05,3.489416849333793e-05,1.386533998726236e-08,1.839090124633458e-08,6.96000415700837e-06,0.00227838265709579,0.002711367793381214
Richard Garfield received a Bachelor of Science degree in the field of,The creator of Magic: The Gathering received a Bachelor of Science degree in field of,Richard Garfield,The creator of Magic: The Gathering, computer mathematics,1.15339810236037e-06,4.793284460902214e-05,5.231549039308447e-06,1.7247258483621408e-06,1.2838171414841781e-07,7.764678855437523e-08,8.72503619575582e-07,4.179901225143112e-05,2.077375575026963e-05,9.497216524323449e-07,6.650783745953959e-08,1.2255773071956355e-06,0.09150607138872147,0.014487793669104576
Emperor Vespasian introduced a tax on this bodily fluid,The fourth and last emperor who reigned in the Year of the Four Emperors introduced a tax on this bodily fluid,Emperor Vespasian,The fourth and last emperor who reigned in the Year of the Four Emperors, urin,7.114318123058183e-06,4.976129019951259e-08,4.764575578519725e-08,2.9702150641242042e-06,9.993646381190047e-05,0.00010761220619315282,0.0018517076969146729,4.072601950610988e-05,1.8036171240964904e-06,6.033966570839766e-08,2.6793695040439047e-10,1.8478865659865562e-10,6.366921752487542e-06,3.3109072319348343e-06
"Ludwig II ruled Bavaria from 1864 until his death in 1886, when he drowned in Lake","Der Märchenkönig ('the Fairy Tale King') ruled Bavaria from 1864 until his death in 1886, when he drowned in Lake",Ludwig II,Der Märchenkönig ('the Fairy Tale King')," Starnberg, Bavaria, German Empire",0.00014499036478810012,0.00037906563375145197,0.00109872838947922,0.002649071393534541,0.0022701560519635677,0.002803098876029253,0.0077604446560144424,0.0033560791052877903,0.00046997706522233784,0.000184440883458592,2.9126756999175996e-05,0.0012147146044299006,0.004190415143966675,0.0037922144401818514
Alexander the Great was tutored by the philosopher called,The man who conquered most of the known world was tutored by the philosopher called,Alexander the Great,The man who conquered the world, Aristotle,8.349512747862775e-11,7.272321056461806e-08,3.6516343726589184e-08,2.8795861908292864e-06,5.99148620494816e-07,4.1089498381552403e-07,7.361210737144575e-05,2.134327360181487e-06,7.043707483944672e-08,1.4944804282990276e-09,2.1569352526285002e-08,8.265960059361532e-05,0.0651421919465065,0.07997949421405792
